Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD
0.06286159872164566,-1.0201562144093554,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,1.0,0.0
-0.4340986989761561,0.14485892718933768,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,7.0,2.0,8.0,6.0
-0.18561855012725523,-0.5208640108670584,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0
-0.5997521315420901,0.4777203962175357,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,7.0,6.0,5.0,0.0
0.9739554778342823,-1.103371581666405,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,10.0,0.0
-0.682578847825057,-0.18800254183886034,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,2.0,6.0,6.0,8.0,2.0
-0.5997521315420901,0.14485892718933768,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,8.0,2.0
-0.682578847825057,-0.8537254798952564,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,3.0,1.0,5.0
0.8911287615513153,-0.8537254798952564,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,8.0,9.0,3.0,0.0
-0.10279183384428826,-0.18800254183886034,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,9.0,6.0,4.0,3.0
-0.5997521315420901,0.4777203962175357,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,7.0,9.0,5.0,0.0
-0.5169254152591231,-0.18800254183886034,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,4.0
-0.682578847825057,-0.5208640108670584,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
